#  Guess pulse generated by entanglement.pyc
#  Blackman pulse with E0 = 425 MHz
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  3.01650825412706389E+01  4.36474955201162516E+01  0.00000000000000000E+00
  3.02651325662831425E+01  4.39881339134475837E+01  0.00000000000000000E+00
  3.03651825912956497E+01  4.43304285320316396E+01  0.00000000000000000E+00
  3.04652326163081568E+01  4.46743819789331695E+01  0.00000000000000000E+00
  3.05652826413206640E+01  4.50199968276571454E+01  0.00000000000000000E+00
  3.06653326663331711E+01  4.53672756218873658E+01  0.00000000000000000E+00
  3.07653826913456747E+01  4.57162208752258366E+01  0.00000000000000000E+00
  3.08654327163581819E+01  4.60668350709331094E+01  0.00000000000000000E+00
  3.09654827413706890E+01  4.64191206616692540E+01  0.00000000000000000E+00
  3.10655327663831926E+01  4.67730800692358955E+01  0.00000000000000000E+00
  3.11655827913956998E+01  4.71287156843190829E+01  0.00000000000000000E+00
  3.12656328164082069E+01  4.74860298662328972E+01  0.00000000000000000E+00
  3.13656828414207141E+01  4.78450249426641960E+01  0.00000000000000000E+00
  3.14657328664332212E+01  4.82057032094179831E+01  0.00000000000000000E+00
  3.15657828914457248E+01  4.85680669301639014E+01  0.00000000000000000E+00
  3.16658329164582319E+01  4.89321183361838052E+01  0.00000000000000000E+00
  3.17658829414707391E+01  4.92978596261196174E+01  0.00000000000000000E+00
  3.18659329664832427E+01  4.96652929657230260E+01  0.00000000000000000E+00
  3.19659829914957498E+01  5.00344204876055301E+01  0.00000000000000000E+00
  3.20660330165082570E+01  5.04052442909895859E+01  0.00000000000000000E+00
  3.21660830415207641E+01  5.07777664414609120E+01  0.00000000000000000E+00
  3.22661330665332713E+01  5.11519889707216677E+01  0.00000000000000000E+00
  3.23661830915457784E+01  5.15279138763445204E+01  0.00000000000000000E+00
  3.24662331165582856E+01  5.19055431215280549E+01  0.00000000000000000E+00
  3.25662831415707856E+01  5.22848786348528733E+01  0.00000000000000000E+00
  3.26663331665832928E+01  5.26659223100390719E+01  0.00000000000000000E+00
  3.27663831915957999E+01  5.30486760057044080E+01  0.00000000000000000E+00
  3.28664332166083071E+01  5.34331415451238527E+01  0.00000000000000000E+00
  3.29664832416208142E+01  5.38193207159900453E+01  0.00000000000000000E+00
  3.30665332666333214E+01  5.42072152701748138E+01  0.00000000000000000E+00
  3.31665832916458285E+01  5.45968269234920385E+01  0.00000000000000000E+00
  3.32666333166583286E+01  5.49881573554612686E+01  0.00000000000000000E+00
  3.33666833416708357E+01  5.53812082090729660E+01  0.00000000000000000E+00
  3.34667333666833429E+01  5.57759810905540263E+01  0.00000000000000000E+00
  3.35667833916958500E+01  5.61724775691355021E+01  0.00000000000000000E+00
  3.36668334167083572E+01  5.65706991768206393E+01  0.00000000000000000E+00
  3.37668834417208643E+01  5.69706474081546190E+01  0.00000000000000000E+00
  3.38669334667333715E+01  5.73723237199951512E+01  0.00000000000000000E+00
  3.39669834917458786E+01  5.77757295312842203E+01  0.00000000000000000E+00
  3.40670335167583858E+01  5.81808662228215212E+01  0.00000000000000000E+00
  3.41670835417708858E+01  5.85877351370384574E+01  0.00000000000000000E+00
  3.42671335667833930E+01  5.89963375777737653E+01  0.00000000000000000E+00
  3.43671835917959001E+01  5.94066748100502764E+01  0.00000000000000000E+00
  3.44672336168084072E+01  5.98187480598528794E+01  0.00000000000000000E+00
  3.45672836418209144E+01  6.02325585139077049E+01  0.00000000000000000E+00
  3.46673336668334215E+01  6.06481073194627527E+01  0.00000000000000000E+00
  3.47673836918459287E+01  6.10653955840695772E+01  0.00000000000000000E+00
  3.48674337168584287E+01  6.14844243753662738E+01  0.00000000000000000E+00
  3.49674837418709359E+01  6.19051947208620064E+01  0.00000000000000000E+00
