# OCT iter       1000;   J_T =   5.367238810491E-03;   pulse_id =          1                                                                                                                                                                                   
#               time [ns]              abs(E) [au]        phase(E) [rad/pi]
   2.0908408408408409E+01   8.4655332466412478E-02  -1.4173177215522326E-01
   2.0983483483483486E+01   8.5672471421249632E-02  -1.4035106838092964E-01
   2.1058558558558559E+01   8.6714895289287580E-02  -1.3895236591967042E-01
   2.1133633633633632E+01   8.7784089476223959E-02  -1.3753362699353694E-01
   2.1208708708708709E+01   8.8881382451311552E-02  -1.3609062084056534E-01
   2.1283783783783786E+01   9.0007892646242121E-02  -1.3461733343819179E-01
   2.1358858858858859E+01   9.1164496841675338E-02  -1.3310669811814566E-01
   2.1433933933933936E+01   9.2351839624280993E-02  -1.3155158068163822E-01
   2.1509009009009009E+01   9.3570396671241826E-02  -1.2994590372856754E-01
   2.1584084084084083E+01   9.4820592722725194E-02  -1.2828576714053055E-01
   2.1659159159159163E+01   9.6102961215153632E-02  -1.2657042122638532E-01
   2.1734234234234236E+01   9.7418320593059646E-02  -1.2480297477721548E-01
   2.1809309309309310E+01   9.8767935857098671E-02  -1.2299076421269821E-01
   2.1884384384384386E+01   1.0015363500472381E-01  -1.2114536011879100E-01
   2.1959459459459460E+01   1.0157785855949530E-01  -1.1928223161066882E-01
   2.2034534534534536E+01   1.0304363406412613E-01  -1.1742011842956035E-01
   2.2109609609609613E+01   1.0455448243011138E-01  -1.1558017255948581E-01
   2.2184684684684687E+01   1.0611427523918746E-01  -1.1378492849918674E-01
   2.2259759759759760E+01   1.0772706822597737E-01  -1.1205715160463067E-01
   2.2334834834834837E+01   1.0939693486968521E-01  -1.1041860608956176E-01
   2.2409909909909910E+01   1.1112781622664925E-01  -1.0888878556416670E-01
   2.2484984984984987E+01   1.1292339182980726E-01  -1.0748366229604525E-01
   2.2560060060060064E+01   1.1478696581345879E-01  -1.0621453404336278E-01
   2.2635135135135137E+01   1.1672135644684326E-01  -1.0508707170859752E-01
   2.2710210210210210E+01   1.1872877865706030E-01  -1.0410068676432567E-01
   2.2785285285285287E+01   1.2081071824641111E-01  -1.0324833437183603E-01
   2.2860360360360360E+01   1.2296781106990463E-01  -1.0251684001772339E-01
   2.2935435435435437E+01   1.2519975594242730E-01  -1.0188778419826221E-01
   2.3010510510510514E+01   1.2750530096208973E-01  -1.0133890810905266E-01
   2.3085585585585587E+01   1.2988234431999313E-01  -1.0084592622023308E-01
   2.3160660660660660E+01   1.3232817978078654E-01  -1.0038456453046071E-01
   2.3235735735735737E+01   1.3483989444614400E-01  -9.9932600223022042E-02
   2.3310810810810811E+01   1.3741489622337755E-01  -9.9471668096706697E-02
   2.3385885885885887E+01   1.4005151724951226E-01  -9.8988622785322097E-02
   2.3460960960960964E+01   1.4274961481068832E-01  -9.8476297675910360E-02
   2.3536036036036037E+01   1.4551107926676093E-01  -9.7933571452978929E-02
   2.3611111111111111E+01   1.4834016251263543E-01  -9.7364730305929084E-02
   2.3686186186186188E+01   1.5124356040493872E-01  -9.6778188884014682E-02
   2.3761261261261261E+01   1.5423021499675071E-01  -9.6184699716784214E-02
   2.3836336336336338E+01   1.5731084195864509E-01  -9.5595234564932893E-02
   2.3911411411411414E+01   1.6049722915210551E-01  -9.5018757703405898E-02
   2.3986486486486488E+01   1.6380138824181717E-01  -9.4460125334160025E-02
   2.4061561561561565E+01   1.6723466754555191E-01  -9.3918332250080408E-02
   2.4136636636636638E+01   1.7080694688723635E-01  -9.3385284763508561E-02
   2.4211711711711711E+01   1.7452603085043047E-01  -9.2845212601138469E-02
   2.4286786786786788E+01   1.7839733400723393E-01  -9.2274754809932136E-02
   2.4361861861861865E+01   1.8242391185596640E-01  -9.1643684096919337E-02
   2.4436936936936938E+01   1.8660683986859899E-01  -9.0916187877273930E-02
